Channel,Current_Spend,Optimal_Spend,Spend_Delta,Shapley_Weight_Pct
Paid Search,26160.0,97624.63,71464.63,65.7
Display,1561.2,32541.54,30980.34,21.9
Social,113916.0,17952.57,-95963.43,12.1
Affiliates,7057.5,575.96,-6481.54,0.4
