Channel,First_Click,Last_Click,Linear,Time_Decay,Markov,Shapley
Referral,1352.0,1509.0,1431.11,1436.43,1419.49,1420.67
Organic Search,1034.0,1022.0,1028.9,1028.31,1052.01,1033.0
Direct,697.0,562.0,623.54,618.96,591.41,629.17
Paid Search,174.0,162.0,168.26,168.04,166.65,169.5
Display,53.0,54.0,57.54,57.7,57.74,56.5
Social,30.0,31.0,30.66,30.56,40.17,31.17
Affiliates,1.0,1.0,1.0,1.0,13.45,1.0
(Other),0.0,0.0,0.0,0.0,0.07,0.0
