Channel,Session_Touchpoints,Illustrative_CPC,Illustrative_Spend,Last_Click_Conv,Shapley_Conv,Last_Click_CPA,Shapley_CPA
(Other),7,0.0,0.0,0.0,0.0,,
Affiliates,4705,1.5,7057.5,1.0,1.0,7057.5,7057.5
Direct,48760,0.0,0.0,562.0,629.17,,
Display,2602,0.6,1561.2,54.0,56.5,28.91,27.63
Organic Search,122143,0.0,0.0,1022.0,1033.0,,
Paid Search,10464,2.5,26160.0,162.0,169.5,161.48,154.34
Referral,32595,0.0,0.0,1509.0,1420.67,,
Social,94930,1.2,113916.0,31.0,31.17,3674.71,3654.67
